user_id,group_pp
827498,2
828478,1
828792,1
832334,1
836416,2
838220,2
839110,3
842746,3
843372,2
847386,3
850080,3
854258,2
854340,3
860066,1
861686,2
861726,3
862398,2
865482,1
873374,1
878724,2
878728,1
879128,2
879178,1
888640,1
888922,2
891106,3
892428,3
896688,3
897486,2
897554,2
898818,1
899922,3
904686,2
915202,3
929118,2
930898,3
936106,2
939222,2
940560,3
940712,2
940752,2
953550,1
957106,2
957680,2
959698,1
959794,1
962356,2
969338,3
971310,3
971384,2
972540,2
973016,3
976260,3
979584,3
986374,3
988930,1
992174,1
997346,1
1001858,3
1006930,3
1016744,2
1025410,1
1025836,3
1029912,1
1030928,3
1031046,2
1032208,3
1034028,1
1037556,3
1039270,3
1039542,2
1040080,2
1044408,2
1050714,1
1051664,1
1053454,2
1054818,3
1054912,2
1055702,2
1059470,1
1060224,1
1069932,1
1071068,2
1071186,3
1072114,2
1078670,1
1082548,2
1084320,2
1084932,3
1085416,3
1091910,3
1096546,3
1107618,2
1112890,1
1113626,3
1118670,1
1121326,2
1123114,2
1124736,2
1134652,2
1136560,3
1137298,1
1139010,1
1143072,3
1146434,1
1146778,2
1146984,3
1151930,1
1162876,3
1164470,3
1169088,2
1171762,2
1174374,3
1175182,2
1179608,2
1182986,3
1185944,1
1185972,1
1188066,2
1189022,1
1191360,2
1194916,2
1196900,1
1198212,2
1200682,2
1203728,1
1205366,3
1206404,2
1207224,1
1215798,3
1219554,1
1224798,1
1226692,3
1232106,1
1236030,3
1236340,2
1238542,3
1239540,1
1241270,2
1248162,1
1253266,3
1254552,2
1254584,2
1257700,2
1258672,3
1260814,1
1262094,3
1263382,1
1264750,2
1266370,2
1272426,2
1274872,2
1276244,1
1281780,3
1283682,2
1285954,3
1288184,3
1290398,3
1291244,3
1292498,2
1295736,2
1296670,3
1299218,2
1302294,1
1304652,2
1306030,1
1306380,1
1310506,1
1311522,3
1318582,2
1329002,3
1329430,1
1334102,2
1343482,3
1347642,2
1347746,2
1351130,2
1365706,1
1368178,2
1369230,3
1374630,3
1376846,2
1394390,3
1405766,2
1410090,1
1415142,3
1417286,2
1423910,2
1426710,1
1429442,3
1429630,2
1430338,1
1431686,3
1433422,1
1438830,1
1440090,1
1451170,3
1457538,2
1459406,2
1465638,3
1479606,1
1486310,1
1494038,1
1497570,2
1507070,3
1514754,2
1522994,2
1529674,1
1534350,2
1546290,2
1548402,1
1548650,1
1548942,1
1557558,2
1559674,2
1564866,1
1564938,1
1568594,1
1572158,1
1575318,3
1578942,3
1580102,1
1587806,2
1590194,1
1597842,2
1597894,1
1601870,1
1609162,1
1622218,3
1623702,2
1626498,3
1629318,3
1638630,1
1645726,1
1647682,2
1648022,1
1656566,2
1656670,3
1657538,1
1668390,1
1669370,2
1670050,1
1673934,3
1676714,1
1678966,1
1680622,1
1687350,1
1689226,2
1689906,1
1692670,1
1701594,1
1702770,1
1718580,3
1720376,2
1720944,2
1722556,1
1723692,1
1725328,3
1727016,2
1734044,1
1735876,2
1735912,2
1750396,3
1751664,1
1752740,1
1753580,2
1755504,1
1762352,2
1765056,2
1767016,3
1769884,1
1783768,1
1784860,1
1792912,1
1794132,1
1799512,1
1799876,2
1800088,2
1800192,3
1800244,3
1805772,1
1806420,3
1806904,2
1811476,1
1814564,1
1817588,2
1818448,1
1824036,1
1825304,3
1829632,2
1830536,3
1832144,2
1840496,1
1841644,3
1846416,3
1847480,1
1848208,2
1852982,3
1865334,1
1869058,3
1869246,3
1878050,3
1884382,1
1896170,1
1912166,3
1913358,1
1919562,3
1942030,2
1947134,1
1960902,2
1969150,3
1972870,2
1976922,2
1984782,1
1988974,2
1992682,2
1998726,3
2007642,3
2009654,3
2013558,1
2018274,3
2020418,3
2027166,1
2030142,1
2031750,3
2035550,2
2038350,2
2040518,2
2042246,3
2056698,2
2068278,3
2088238,2
2114382,2
2118278,2
2122658,3
2132558,3
2132830,1
2133586,3
2140790,1
2141670,3
2153402,2
2172574,1
2180026,3
2180270,3
2185142,2
2210894,3
2218726,1
2221690,1
2225806,1
2231134,3
2235406,2
2235742,1
2237806,1
2246526,2
2259794,3
2262670,1
2265114,1
2275678,3
2281930,1
2307418,3
2318582,1
2318710,1
2319146,3
2324738,2
2329650,2
2343670,3
2344126,2
2346862,1
2346906,3
2347094,3
2353234,1
2356622,1
2357358,1
2386114,3
2402322,3
2406302,1
2410786,3
2412306,2
2415342,1
2427818,2
2432682,1
2433314,2
2441198,3
2454362,1
2463794,2
2473410,1
2487674,1
2491066,3
2506662,1
2512322,3
2515998,3
2517546,1
2524438,1
2529834,2
2534090,3
2534590,1
2552130,1
2553026,2
2578886,1
2580290,2
2580346,1
2593318,2
2596578,3
2600726,3
2602726,3
2602894,2
2603458,1
2607738,3
2609234,2
2611626,1
2615162,1
2618490,1
2624750,2
2646946,3
2649594,1
2652766,2
2656562,3
2660442,2
2666534,1
2688558,1
2691398,3
2696378,1
2705390,3
2711586,1
2736526,1
2745306,2
2745798,1
2748618,3
2763074,2
2786058,3
2788954,1
2791202,2
2792978,2
2805382,1
2810066,2
2813762,2
2814230,1
2822414,3
2836006,2
2838878,1
2840726,1
2842078,3
2846630,1
2849470,3
2859986,2
2865122,3
2872410,1
